Combined_SMILES,D_Fr,A_Cs,D_HOMO,D_LUMO,A_HOMO,A_LUMO,scscore,sascore,initial,ground
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)C(=O)c4ccccc4-5)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,O=C1C(C=CC=C2)=C2C3=C1C=C([Cs])C=C3,-4.84444483,-0.40817094,-6.24120579,-2.24684497,4.737679396,2.4252274,515.6239347625474,624.2412994272377
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(C(=O)C(F)(F)F)cc4)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,O=C(C(F)(F)F)c1ccc([Cs])cc1,-4.84444483,-0.40817094,-7.415377524,-2.250110335,4.288781749,2.4334455,503.41664884354276,620.9322720787984
c1ccc2c(c1)oc1ccc(-c3ccc(-c4cnc5sc6ncccc6c5c4)cc3)cc12,[Fr]c1cc2c(cccc3)c3oc2cc1,[Cs]c1cc2c3cccnc3sc2nc1,-6.018888681,-0.93797682,-6.437672066,-1.626697253,4.566963625,2.461563,465.14306118075467,571.1707396096737
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)C(=O)NC5=O)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,O=C1NC(c2c1cc([Cs])cc2)=O,-4.84444483,-0.40817094,-7.302994458,-2.271879452,4.742172873,2.4736688,514.4241664476613,625.3742280908334
O=C(c1ccc(-c2ccc(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)s3)cc2)cc1)C(F)(F)F,[Fr]C(S1)=CC=C1/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,O=C(C(F)(F)F)c1ccc([Cs])cc1,-5.201988918,-1.381518948,-7.415377524,-2.250110335,4.050190219,2.4775302,515.4966701506497,632.0360795426542
O=C1c2ccccc2-c2ccc(-c3ccc(-c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)s4)cc3)cc21,[Fr]C(S1)=CC=C1/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,O=C1C(C=CC=C2)=C2C3=C1C=C([Cs])C=C3,-5.201988918,-1.381518948,-6.24120579,-2.24684497,4.285069572,2.494126,509.875164019411,631.7442885659412
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(C#N)c(C#N)c4)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,N#Cc1c(C#N)ccc([Cs])c1,-4.84444483,-0.40817094,-7.776744863,-2.366302996,4.116556259,2.4982274,499.5684621760075,626.0174628873015
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)c(C#N)c1-c1ccc(N2c3ccccc3CCc3ccccc32)cc1,[Fr]N(c1c(CC2)cccc1)c3c2cccc3,N#CC1=C([Cs])C(C#N)=C(C=C1C2=CC=CC=C2)C3=CC=CC=C3,-4.956827895,-0.081634188,-6.783801023,-2.270246768,4.169799345,2.5196276,503.38114700838594,615.6651514666634
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4cc(C#N)cc(C#N)c4)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,N#Cc1cc(C#N)cc([Cs])c1,-4.84444483,-0.40817094,-7.837426276,-2.247389196,4.325517535,2.526672,500.24032699699796,626.0174628873015
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)C(=O)C=CC5=O)cc3)ccc21,CCCCN1C2=CC=CC=C2SC3=C1C=CC([Fr])=C3,O=C1C=CC(c2c1ccc([Cs])c2)=O,-4.84444483,-0.40817094,-7.175645125,-3.177474711,4.624119931,2.551321,524.0163009311291,625.0902698961486
