D_smiles,D_Fr,A_smiles,A_Cs,D_HOMO,D_LUMO,A_HOMO,A_LUMO
C1=Cc2ccccc2C1,[Fr]C(C=C1)c2c1cccc2,ClC1=CC=C2SC=NC2=C1,ClC1=CC=C2SC([Cs])=NC2=C1,-5.772353433,-0.500417572,-6.602301011,-1.337167999
c1cc2ccccc2[nH]1,[Fr]n1ccc2c1cccc2,c1cnccn1,[Cs]c1nccnc1,-5.417788944,-0.091702405,-6.825434459,-1.430230974
c1cc2ccccc2o1,[Fr]c1c(cccc2)c2oc1,c1cncnc1,[Cs]c1cncnc1,-5.984058094,-0.466131213,-6.929654105,-1.169817914
c1cc2cnccc2[nH]1,[Fr]n1ccc2c1ccnc2,c1cscn1,[Cs]c1nccs1,-5.791945639,-0.428579487,-6.872782288,-0.760830632
c1nc2ccccc2[nH]1,[Fr]n1cnc2c1cccc2,O=Cc1ccccc1,O=Cc1cccc([Cs])c1,-6.07929798,-0.365993276,-6.944348259,-1.72683519
c1nc2ccccc2o1,[Fr]C1=NC2=C(O1)C=CC=C2,c1cc2cnccc2[nH]1,[Cs]c1c(cncc2)c2[nH]c1,-6.575633843,-0.7874978,-5.791945639,-0.428579487
c1ccc2[nH]nnc2c1,[Fr]n1nnc2ccccc12,c1nc2ccccc2o1,[Cs]c1cc2ocnc2cc1,-6.599307758,-1.212267692,-6.575633843,-0.7874978
c1ccc2cnccc2c1,[Fr]c1c2ccccc2cnc1,c1ccc2[nH]nnc2c1,[Cs]c1cc([nH]nn2)c2cc1,-6.225967405,-1.402747464,-6.599307758,-1.212267692
c1ccc2ncccc2c1,[Fr]c1cccc2c1cccn2,CC(=O)c1ccccc1,CC(c1ccc([Cs])cc1)=O,-6.302159314,-1.39975421,-6.725840749,-1.481116284
c1cnc2ncccc2c1,[Fr]c1c2cccnc2ncc1,N#Cc1ccccc1C#N,N#Cc1c(C#N)ccc([Cs])c1,-6.729650345,-1.791598313,-7.776744863,-2.366302996
CC1C=Cc2ccccc21,CC1C=Cc2c1cc([Fr])cc2,N#Cc1cccc(C#N)c1,N#Cc1cc(C#N)cc([Cs])c1,-5.755482368,-0.527084741,-7.837426276,-2.247389196
c1cnc2cnncc2c1,[Fr]c1ccnc2c1cnnc2,c1ccc2ccccc2c1,[Cs]c1cccc2ccccc12,-6.536177319,-2.238409435,-5.802285969,-0.980426598
Cn1ccc2ccccc21,Cn(cc1[Fr])c2c1cccc2,c1ccc2cnccc2c1,[Cs]c1cccc2c1ccnc2,-5.307310676,-0.062041983,-6.225967405,-1.402747464
c1cc2ccccc2s1,[Fr]c1c(cccc2)c2sc1,c1ccc2ncccc2c1,[Cs]c1c2ccccc2ncc1,-5.894532602,-0.663141721,-6.302159314,-1.39975421
c1nc2ccccc2s1,[Fr]c1ccc2scnc2c1,c1cnc2ncccc2c1,[Cs]c1c2cccnc2ncc1,-6.469781513,-1.017978324,-6.729650345,-1.791598313
O=c1cc[nH]c2ccccc12,O=c(ccn1[Fr])c2c1cccc2,c1cnc2cnccc2c1,[Cs]c1ccnc2c1ccnc2,-5.812898414,-1.109952843,-6.72448018,-1.840578825
c1ccc(-c2ccccn2)nc1,[Fr]c1ccnc(c2ncccc2)c1,c1cnc2cccnc2c1,[Cs]c1ccnc2c1nccc2,-6.364201296,-1.336895885,-6.664615108,-1.78180221
c1cc2cc3ccoc3cc2[nH]1,[Fr]n1ccc(c2)c1cc3c2cco3,c1ccc2ncncc2c1,[Cs]c1cc(ncnc2)c2cc1,-5.135606767,-0.414429561,-6.742983929,-1.828877925
c1cc2cc3occc3cc2o1,[Fr]c1c2occc2cc3c1cco3,c1ccc2nccnc2c1,[Cs]c1cc(nccn2)c2cc1,-5.548947872,-0.81770245,-6.706520658,-1.939084079
c1nc2cc3nc[nH]c3cc2[nH]1,[Fr]n1cnc(c2)c1cc3c2nc[nH]3,c1cnc2ccncc2c1,[Cs]c1ccnc2c1cncc2,-5.561465114,-0.578786393,-6.740534903,-1.828877925
