smiles,D_smiles,A_smiles,D_HOMO,D_LUMO,A_HOMO,A_LUMO,D_A_H,D_A_L,initial,ground,change,overlap,distance,3d_overlap,3d_distance,3d_HOMO(a.u.),3d_LUMO(a.u.),3d_HOMO,3d_LUMO,HOMO,LUMO,AIE
C(=C/C1=CC=C(N(C2=CC=CC=C2)C2=CC=CC=C2)C=C1)\C1=C\N=C2\C=CC=C\C2=N/1,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C12=NC=CN=C1C=CC=C2,-4.956011553,-0.323543498,-6.706520658,-1.939084079,1.750509105,1.615540581,531,543,12,0.543265153,5.993857,0.618938227,4.904724,-0.179204,-0.072307,-4.876391726,-1.9675747,-4.993346323,-2.051630714,0
N1(CC)C2=CC=CC=C2SC2=CC(/C=C/C3=C/N=C4/C=CC=C\C4=N/3)=CC=C12,CCN1C2=CC=CC=C2SC3=CC=CC=C13,C12=NC=CN=C1C=CC=C2,-4.866213947,-0.417694929,-6.706520658,-1.939084079,1.840306711,1.52138915,549,602,53,0.48704597,6.277838,0.557071122,5.246555,-0.17234,-0.071209,-4.689612676,-1.937696583,-4.932283941,-2.07993057,0
N#C-C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(N(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1(NC2=CC=CC=C2)=CC=CC=C1,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-5.099687724,-0.141499259,-5.93426124,-1.909967885,0.834573515,1.768468626,500,551,51,0.504945333,5.078999,0.677693481,3.741603,-0.176151,-0.082893,-4.793315321,-2.25563458,-5.033020544,-1.842511105,1
N#C-C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(N(C2=CC=CC=C2)C2=CC=C(C)C=C2)C=C1,CC(C=C1)=CC=C1NC2=CC=CC=C2,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-4.992746938,-0.0838111,-5.93426124,-1.909967885,0.941514302,1.826156786,503,549,46,0.496150359,5.176109,0.664734933,3.916193,-0.173983,-0.082079,-4.734321006,-2.233484501,-4.965808386,-1.816633064,1
N(/C1=C/C=C\C2=CC=CC=C12)(C1=CC=C(C(-C#N)=C(C2=CC=CC=C2)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,C1(NC2=CC=CC=C2)=CC=CC3=CC=CC=C13,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-5.255609023,-1.049815658,-5.93426124,-1.909967885,0.678652216,0.860152228,496,534,38,0.552400822,4.696726,0.686269603,3.659331,-0.172966,-0.081029,-4.706647012,-2.204912531,-5.055551583,-1.805013796,1
C1(C(C2=CC=CC=C2)=O)=CC=C2C(=C1)SC1=CC=CC=C1N2CC,CCN1C2=CC=CC=C2SC3=CC=CC=C13,O=CC1=CC=CC=C1,-4.866213947,-0.417694929,-6.944348259,-1.72683519,2.078134313,1.309140262,509,542,33,0.476589963,4.522694,0.490040193,4.407083,-0.178494,-0.060023,-4.857071632,-1.633309862,-5.099253092,-1.608493065,0
C(=C(/C#N)C#N)\C1=CC=C(N2C3=CC=CC=C3SC3=CC=CC=C23)C=C1,C12=CC=CC=C1SC3=CC=CC=C3N2,N#CCC#N,-4.68090434,-0.454702427,-8.471996031,-9.502763711,3.791091691,9.048061284,512,523,11,0.102453498,6.621305,0.4596411,5.426775,-0.193115,-0.106699,-5.254929511,-2.903429169,-5.319991968,-3.127297356,1
C1(C(=O)OC)=CC=C(/C(C#N)=C/C2=CC=C3C(=C2)SC2=CC=CC=C2N3CC)C=C1,CCN1C2=CC=CC=C2SC3=CC=CC=C13,O=C(OC)C1=CC=C(C=C1)CC#N,-4.866213947,-0.417694929,-7.006118128,-7.217822789,2.139904181,6.80012786,591,619,28,0.559771278,4.643671,0.594418879,4.195859,-0.185006,-0.087774,-5.034272268,-2.388453424,-5.178247786,-2.237783902,0
C(=C/C1=CC=C2C(=C1)SC1=CC(C3=CC=C(OC)C=C3)=CC=C1N2CC)\C(C1=CC=CC=C1)=O,COC(C=C1)=CC=C1C2=CC=C3C(SC4=CC=CC=C4N3CC)=C2,O=CC1=CC=CC=C1,-4.760905844,-0.634297641,-6.944348259,-1.72683519,2.183442415,1.092537549,597,608,11,0.498587398,5.496901,0.550125148,5.062771,-0.174845,-0.070937,-4.757777233,-1.930295082,-4.974543245,-1.841585918,1
C(=C/C1=CC=C2C(=C1)SC1=CC(Br)=CC=C1N2CC)\C(C1=CC=CC=C1)=O,BrC1=CC=C2C(SC3=CC=CC=C3N2CC)=C1,O=CC1=CC=CC=C1,-5.052067781,-0.690897344,-6.944348259,-1.72683519,1.892280478,1.035937846,627,636,9,0.526499318,4.790429,0.558511619,4.454895,-0.185413,-0.07489,-5.045347308,-2.037861746,-5.251555297,-1.956091489,1
[CH3]C1=CC(/C2=C/C=C3/C=C\C4=C\C=C/C5=CC=C2C3=C45)=CS1,C12=CC=CC(C2=C34)=CC=C4C=CC=C3C=C1,CC1=CC=CS1,-5.336971097,-1.499892148,-6.036848203,-0.13605698,0.699877105,-1.363835168,418,480,62,0.887397787,0.229253,0.878006053,0.32166,-0.179376,-0.05096,-4.881072086,-1.386692944,-5.209295993,-1.569635186,0
C1(CC)=CC(/C2=C/C=C3/C=C\C4=C\C=C/C5=CC=C2C3=C45)=CS1,C12=CC=CC(C2=C34)=CC=C4C=CC=C3C=C1,CCC1=CC=CS1,-5.336971097,-1.499892148,-6.009908921,-0.1072129,0.672937823,-1.392679247,414,482,68,0.886398927,0.258196,0.890339462,0.260321,-0.182889,-0.060974,-4.976665735,-1.659187904,-5.200234597,-1.561879937,0
C(C1=CC(/C2=C/C=C3/C=C\C4=C\C=C/C5=CC=C2C3=C45)=CS1)CC,C12=CC=CC(C2=C34)=CC=C4C=CC=C3C=C1,CCCC1=CC=CS1,-5.336971097,-1.499892148,-6.000657046,-0.09823314,0.663685948,-1.401659008,413,478,65,0.886455643,0.265955,0.877201597,0.348142,-0.17871,-0.050378,-4.862949294,-1.370855909,-5.196724326,-1.558396878,0
C(CCC1=CC(/C2=C/C=C3/C=C\C4=C\C=C/C5=CC=C2C3=C45)=CS1)CC,C12=CC=CC(C2=C34)=CC=C4C=CC=C3C=C1,CCCCCC1=CC=CS1,-5.336971097,-1.499892148,-5.991405171,-0.090341835,0.654434074,-1.409550313,416,481,65,0.886122745,0.271819,0.877453221,0.346378,-0.178692,-0.05032,-4.862459489,-1.369277648,-5.192288868,-1.554287957,0
C(CCCC1=CC(/C2=C/C=C3/C=C\C4=C\C=C/C5=CC=C2C3=C45)=CS1)CC,C12=CC=CC(C2=C34)=CC=C4C=CC=C3C=C1,CCCCCCC1=CC=CS1,-5.336971097,-1.499892148,-5.989772488,-0.088709151,0.65280139,-1.411182997,414,485,71,0.886903526,0.241486,0.878563431,0.32039,-0.179485,-0.051019,-4.884038129,-1.388298417,-5.207445618,-1.566315395,0
CCCN1C2=CC=CC=C2SC2=CC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=CC=C12,CCCN1C2=CC=CC=C2SC3=CC=CC=C13,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,-4.851247679,-0.413068991,-5.328263451,-1.217982085,0.477015772,0.804913094,475,519,44,0.462227872,7.607851,0.761149174,3.358851,-0.160724,-0.072615,-4.373525054,-1.975955811,-4.798567122,-1.315181385,1
ClC1=C\C=C2\SC(/C=C/C3=CC=C(N(C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=N\C2=C\1,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ClC1=CC=C2SC=NC2=C1,-4.956011553,-0.323543498,-6.602301011,-1.337167999,1.646289458,1.013624501,507,526,19,0.629401084,4.402118,0.665954564,3.965803,-0.179894,-0.065952,-4.895167592,-1.794646253,-5.115171761,-2.00431009,0
CCN1C2=CC=CC=C2SC3=CC(/C=C/C4=NC5=CC(Cl)=CC=C5S4)=CC=C13,CCN1C2=CC=CC=C2SC3=CC=CC=C13,ClC1=CC=C2SC=NC2=C1,-4.866213947,-0.417694929,-6.602301011,-1.337167999,1.736087065,0.919473071,560,596,36,0.568545849,4.895316,0.761149174,3.358851,-0.173407,-0.064786,-4.71864724,-1.76291776,-5.060068676,-2.050079665,0
CCN1C2=CC=CC=C2SC2=CC(/C=C/C3=N/C4=CC=CC=C4\N=C3\C)=CC=C12,CCN1C2=CC=CC=C2SC3=CC=CC=C13,CC1=NC2=CC=CC=C2N=C1,-4.866213947,-0.417694929,-6.574817502,-1.759216751,1.708603555,1.341521823,501,570,69,0.492382358,6.469101,0.558872179,5.484653,-0.171582,-0.065388,-4.668986435,-1.779299023,-4.917344883,-1.938540136,0
CCCN1C2=CC=CC=C2SC2=CC(C3=CC=C(/C4=N/C5=CC=CC=C5S4)C=C3)=CC=C12,CCCN1C2=CC=CC=C2SC3=CC=CC=C13,C12=CC=CC=C1SC=N2,-4.851247679,-0.413068991,-6.470597855,-1.017434096,1.619350176,0.604365105,484,536,52,0.415206835,7.346468,0.532565047,5.884546,-0.169501,-0.052008,-4.612359511,-1.415210491,-4.926406279,-1.68438566,1
CCCN1C2=CC=CC=C2SC2=CC(C3=CC=CC(/C4=N/C5=CC=CC=C5S4)=C3)=CC=C12,CCCN1C2=CC=CC=C2SC3=CC=CC=C13,C12=CC=CC=C1SC=N2,-4.851247679,-0.413068991,-6.470597855,-1.017434096,1.619350176,0.604365105,440,486,46,0.213869378,7.39996,0.376734753,6.382206,-0.167496,-0.043376,-4.557800654,-1.180321686,-4.875602595,-1.570750854,1
