Combined_SMILES,D_Fr,A_Cs,D_HOMO,D_LUMO,A_HOMO,A_LUMO,scscore,sascore
Clc1ccc2sc(-c3ccc(C4C=Cc5ccccc54)cc3)nc2c1,[Fr]C(C=C1)c2c1cccc2,ClC1=CC=C2SC([Cs])=NC2=C1,-5.772353433,-0.500417572,-6.602301011,-1.337167999,3.79214656,2.774728
C1=CC(c2ccc(-c3cnccn3)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1nccnc1,-5.772353433,-0.500417572,-6.825434459,-1.430230974,3.537952344,2.748072
C1=CC(c2ccc(-c3cncnc3)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1cncnc1,-5.772353433,-0.500417572,-6.929654105,-1.169817914,3.512617799,2.768373
C1=CC(c2ccc(-c3nccs3)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1nccs1,-5.772353433,-0.500417572,-6.872782288,-0.760830632,3.164746605,2.7995527
O=Cc1cccc(-c2ccc(C3C=Cc4ccccc43)cc2)c1,[Fr]C(C=C1)c2c1cccc2,O=Cc1cccc([Cs])c1,-5.772353433,-0.500417572,-6.944348259,-1.72683519,3.240178742,2.6752853
C1=CC(c2ccc(-c3c[nH]c4ccncc34)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1c(cncc2)c2[nH]c1,-5.772353433,-0.500417572,-5.791945639,-0.428579487,3.774092558,2.8912013
C1=CC(c2ccc(-c3ccc4ncoc4c3)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1cc2ocnc2cc1,-5.772353433,-0.500417572,-6.575633843,-0.7874978,3.507543551,2.921355
C1=CC(c2ccc(-c3ccc4nn[nH]c4c3)cc2)c2ccccc21,[Fr]C(C=C1)c2c1cccc2,[Cs]c1cc([nH]nn2)c2cc1,-5.772353433,-0.500417572,-6.599307758,-1.212267692,4.337009125,3.0946937
CC(=O)c1ccc(-c2ccc(C3C=Cc4ccccc43)cc2)cc1,[Fr]C(C=C1)c2c1cccc2,CC(c1ccc([Cs])cc1)=O,-5.772353433,-0.500417572,-6.725840749,-1.481116284,3.258550312,2.5059123
N#Cc1ccc(-c2ccc(C3C=Cc4ccccc43)cc2)cc1C#N,[Fr]C(C=C1)c2c1cccc2,N#Cc1c(C#N)ccc([Cs])c1,-5.772353433,-0.500417572,-7.776744863,-2.366302996,3.38589081,2.892329
